,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.8819
balance_train_Cutoff,0.6054
balance_train_Acc,0.8690
balance_train_MCC,0.7389
balance_train_Sen,0.8929
balance_train_Spe,0.8452
balance_train_PPV,0.8523
balance_train_NPV,0.8875
balance_train_Youden Index,0.7381
balance_train_AUC,0.8824
balance_train_95% CIs,[0.8278-0.9369]
balance_train_Std,0.0278
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.8195
train_Cutoff,0.6054
train_Acc,0.8661
train_MCC,0.7239
train_Sen,0.9070
train_Spe,0.8452
train_PPV,0.7500
train_NPV,0.9467
train_Youden Index,0.7522
train_AUC,0.8931
train_95% CIs,[0.8291-0.9572]
train_Std,0.0327
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.7144
test_Cutoff,0.5648
test_Acc,0.8727
test_MCC,0.7673
test_Sen,1.0000
test_Spe,0.8056
test_PPV,0.7308
test_NPV,1.0000
test_Youden Index,0.8056
test_AUC,0.9020
test_95% CIs,[0.8207-0.9834]
test_Std,0.0415
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.8751
cv_train_Cutoff,0.6753
cv_train_Acc,0.8155
cv_train_MCC,0.6346
cv_train_Sen,0.7619
cv_train_Spe,0.8690
cv_train_PPV,0.8533
cv_train_NPV,0.7849
cv_train_Youden Index,0.6310
cv_train_AUC,0.8786
cv_train_95% CIs,[0.8524-0.9048]
cv_train_Std,0.0134
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.7276
cv_val_Cutoff,0.5697
cv_val_Acc,0.7953
cv_val_MCC,0.5679
cv_val_Sen,0.7907
cv_val_Spe,0.7976
cv_val_PPV,0.6667
cv_val_NPV,0.8816
cv_val_Youden Index,0.5883
cv_val_AUC,0.8408
cv_val_95% CIs,[0.7589-0.9228]
cv_val_Std,0.0418
