,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,1.0000
balance_train_Cutoff,0.6250
balance_train_Acc,1.0000
balance_train_MCC,1.0000
balance_train_Sen,1.0000
balance_train_Spe,1.0000
balance_train_PPV,1.0000
balance_train_NPV,1.0000
balance_train_Youden Index,1.0000
balance_train_AUC,1.0000
balance_train_95% CIs,[1.0000-1.0000]
balance_train_Std,0.0000
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,1.0000
train_Cutoff,0.6250
train_Acc,1.0000
train_MCC,1.0000
train_Sen,1.0000
train_Spe,1.0000
train_PPV,1.0000
train_NPV,1.0000
train_Youden Index,1.0000
train_AUC,1.0000
train_95% CIs,[1.0000-1.0000]
train_Std,0.0000
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.5653
test_Cutoff,0.4300
test_Acc,0.7273
test_MCC,0.3568
test_Sen,0.4211
test_Spe,0.8889
test_PPV,0.6667
test_NPV,0.7442
test_Youden Index,0.3099
test_AUC,0.6564
test_95% CIs,[0.4966-0.8162]
test_Std,0.0815
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,1.0000
cv_train_Cutoff,0.6200
cv_train_Acc,1.0000
cv_train_MCC,1.0000
cv_train_Sen,1.0000
cv_train_Spe,1.0000
cv_train_PPV,1.0000
cv_train_NPV,1.0000
cv_train_Youden Index,1.0000
cv_train_AUC,1.0000
cv_train_95% CIs,[1.0000-1.0000]
cv_train_Std,0.0000
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.5976
cv_val_Cutoff,0.3300
cv_val_Acc,0.7087
cv_val_MCC,0.3943
cv_val_Sen,0.6977
cv_val_Spe,0.7143
cv_val_PPV,0.5556
cv_val_NPV,0.8219
cv_val_Youden Index,0.4120
cv_val_AUC,0.7256
cv_val_95% CIs,[0.6307-0.8205]
cv_val_Std,0.0484
