,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.9172
balance_train_Cutoff,0.4067
balance_train_Acc,0.8750
balance_train_MCC,0.7623
balance_train_Sen,0.9643
balance_train_Spe,0.7857
balance_train_PPV,0.8182
balance_train_NPV,0.9565
balance_train_Youden Index,0.7500
balance_train_AUC,0.9290
balance_train_95% CIs,[0.8890-0.9690]
balance_train_Std,0.0204
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.8526
train_Cutoff,0.4067
train_Acc,0.8425
train_MCC,0.7014
train_Sen,0.9535
train_Spe,0.7857
train_PPV,0.6949
train_NPV,0.9706
train_Youden Index,0.7392
train_AUC,0.9250
train_95% CIs,[0.8786-0.9714]
train_Std,0.0237
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.7980
test_Cutoff,0.4072
test_Acc,0.8909
test_MCC,0.7958
test_Sen,1.0000
test_Spe,0.8333
test_PPV,0.7600
test_NPV,1.0000
test_Youden Index,0.8333
test_AUC,0.9196
test_95% CIs,[0.8456-0.9936]
test_Std,0.0378
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9486
cv_train_Cutoff,0.4432
cv_train_Acc,0.9018
cv_train_MCC,0.8053
cv_train_Sen,0.9345
cv_train_Spe,0.8690
cv_train_PPV,0.8771
cv_train_NPV,0.9299
cv_train_Youden Index,0.8036
cv_train_AUC,0.9533
cv_train_95% CIs,[0.9386-0.9680]
cv_train_Std,0.0075
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.8076
cv_val_Cutoff,0.5577
cv_val_Acc,0.8583
cv_val_MCC,0.6836
cv_val_Sen,0.7907
cv_val_Spe,0.8929
cv_val_PPV,0.7907
cv_val_NPV,0.8929
cv_val_Youden Index,0.6836
cv_val_AUC,0.8771
cv_val_95% CIs,[0.8087-0.9454]
cv_val_Std,0.0349
