,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.7955
balance_train_Cutoff,0.5766
balance_train_Acc,0.8631
balance_train_MCC,0.7275
balance_train_Sen,0.8929
balance_train_Spe,0.8333
balance_train_PPV,0.8427
balance_train_NPV,0.8861
balance_train_Youden Index,0.7262
balance_train_AUC,0.8678
balance_train_95% CIs,[0.8082-0.9273]
balance_train_Std,0.0304
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.6661
train_Cutoff,0.5285
train_Acc,0.8346
train_MCC,0.6716
train_Sen,0.9070
train_Spe,0.7976
train_PPV,0.6964
train_NPV,0.9437
train_Youden Index,0.7046
train_AUC,0.8621
train_95% CIs,[0.7948-0.9295]
train_Std,0.0344
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.7962
test_Cutoff,0.4363
test_Acc,0.8182
test_MCC,0.6422
test_Sen,0.8947
test_Spe,0.7778
test_PPV,0.6800
test_NPV,0.9333
test_Youden Index,0.6725
test_AUC,0.8904
test_95% CIs,[0.8077-0.9730]
test_Std,0.0422
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9122
cv_train_Cutoff,0.5831
cv_train_Acc,0.8497
cv_train_MCC,0.6997
cv_train_Sen,0.8363
cv_train_Spe,0.8631
cv_train_PPV,0.8593
cv_train_NPV,0.8406
cv_train_Youden Index,0.6994
cv_train_AUC,0.9167
cv_train_95% CIs,[0.8959-0.9374]
cv_train_Std,0.0106
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.7690
cv_val_Cutoff,0.3855
cv_val_Acc,0.8189
cv_val_MCC,0.6299
cv_val_Sen,0.8605
cv_val_Spe,0.7976
cv_val_PPV,0.6852
cv_val_NPV,0.9178
cv_val_Youden Index,0.6581
cv_val_AUC,0.8666
cv_val_95% CIs,[0.7967-0.9364]
cv_val_Std,0.0356
