,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,1.0000
balance_train_Cutoff,0.6100
balance_train_Acc,1.0000
balance_train_MCC,1.0000
balance_train_Sen,1.0000
balance_train_Spe,1.0000
balance_train_PPV,1.0000
balance_train_NPV,1.0000
balance_train_Youden Index,1.0000
balance_train_AUC,1.0000
balance_train_95% CIs,[1.0000-1.0000]
balance_train_Std,0.0000
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,1.0000
train_Cutoff,0.6100
train_Acc,1.0000
train_MCC,1.0000
train_Sen,1.0000
train_Spe,1.0000
train_PPV,1.0000
train_NPV,1.0000
train_Youden Index,1.0000
train_AUC,1.0000
train_95% CIs,[1.0000-1.0000]
train_Std,0.0000
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.6126
test_Cutoff,0.3800
test_Acc,0.8182
test_MCC,0.6244
test_Sen,0.8421
test_Spe,0.8056
test_PPV,0.6957
test_NPV,0.9062
test_Youden Index,0.6477
test_AUC,0.8355
test_95% CIs,[0.7221-0.9490]
test_Std,0.0579
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,1.0000
cv_train_Cutoff,0.6200
cv_train_Acc,1.0000
cv_train_MCC,1.0000
cv_train_Sen,1.0000
cv_train_Spe,1.0000
cv_train_PPV,1.0000
cv_train_NPV,1.0000
cv_train_Youden Index,1.0000
cv_train_AUC,1.0000
cv_train_95% CIs,[1.0000-1.0000]
cv_train_Std,0.0000
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.7950
cv_val_Cutoff,0.3700
cv_val_Acc,0.8504
cv_val_MCC,0.6725
cv_val_Sen,0.8140
cv_val_Spe,0.8690
cv_val_PPV,0.7609
cv_val_NPV,0.9012
cv_val_Youden Index,0.6830
cv_val_AUC,0.8702
cv_val_95% CIs,[0.7961-0.9442]
cv_val_Std,0.0378
