,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.8967
balance_train_Cutoff,0.7160
balance_train_Acc,0.9048
balance_train_MCC,0.8116
balance_train_Sen,0.8690
balance_train_Spe,0.9405
balance_train_PPV,0.9359
balance_train_NPV,0.8778
balance_train_Youden Index,0.8095
balance_train_AUC,0.9026
balance_train_95% CIs,[0.8479-0.9573]
balance_train_Std,0.0279
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.8159
train_Cutoff,0.7160
train_Acc,0.8976
train_MCC,0.7686
train_Sen,0.8140
train_Spe,0.9405
train_PPV,0.8750
train_NPV,0.9080
train_Youden Index,0.7544
train_AUC,0.8904
train_95% CIs,[0.8177-0.9630]
train_Std,0.0371
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.8511
test_Cutoff,0.4800
test_Acc,0.8727
test_MCC,0.7673
test_Sen,1.0000
test_Spe,0.8056
test_PPV,0.7308
test_NPV,1.0000
test_Youden Index,0.8056
test_AUC,0.9313
test_95% CIs,[0.8666-0.9959]
test_Std,0.0330
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9333
cv_train_Cutoff,0.5474
cv_train_Acc,0.8914
cv_train_MCC,0.7837
cv_train_Sen,0.9167
cv_train_Spe,0.8661
cv_train_PPV,0.8725
cv_train_NPV,0.9122
cv_train_Youden Index,0.7827
cv_train_AUC,0.9424
cv_train_95% CIs,[0.9248-0.9601]
cv_train_Std,0.0090
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.6298
cv_val_Cutoff,0.5062
cv_val_Acc,0.7717
cv_val_MCC,0.5209
cv_val_Sen,0.7674
cv_val_Spe,0.7738
cv_val_PPV,0.6346
cv_val_NPV,0.8667
cv_val_Youden Index,0.5413
cv_val_AUC,0.7932
cv_val_95% CIs,[0.7037-0.8827]
cv_val_Std,0.0457
