,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.9023
balance_train_Cutoff,0.5572
balance_train_Acc,0.9048
balance_train_MCC,0.8104
balance_train_Sen,0.9286
balance_train_Spe,0.8810
balance_train_PPV,0.8864
balance_train_NPV,0.9250
balance_train_Youden Index,0.8095
balance_train_AUC,0.9225
balance_train_95% CIs,[0.8751-0.9699]
balance_train_Std,0.0242
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.8386
train_Cutoff,0.5572
train_Acc,0.8898
train_MCC,0.7660
train_Sen,0.9070
train_Spe,0.8810
train_PPV,0.7959
train_NPV,0.9487
train_Youden Index,0.7879
train_AUC,0.9244
train_95% CIs,[0.8692-0.9797]
train_Std,0.0282
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.7374
test_Cutoff,0.4802
test_Acc,0.8545
test_MCC,0.7190
test_Sen,0.9474
test_Spe,0.8056
test_PPV,0.7200
test_NPV,0.9667
test_Youden Index,0.7529
test_AUC,0.9137
test_95% CIs,[0.8376-0.9899]
test_Std,0.0389
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9247
cv_train_Cutoff,0.5588
cv_train_Acc,0.8958
cv_train_MCC,0.7918
cv_train_Sen,0.9048
cv_train_Spe,0.8869
cv_train_PPV,0.8889
cv_train_NPV,0.9030
cv_train_Youden Index,0.7917
cv_train_AUC,0.9377
cv_train_95% CIs,[0.9192-0.9561]
cv_train_Std,0.0094
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.7458
cv_val_Cutoff,0.6653
cv_val_Acc,0.8425
cv_val_MCC,0.6419
cv_val_Sen,0.7209
cv_val_Spe,0.9048
cv_val_PPV,0.7949
cv_val_NPV,0.8636
cv_val_Youden Index,0.6257
cv_val_AUC,0.8353
cv_val_95% CIs,[0.7512-0.9193]
cv_val_Std,0.0429
