,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.7898
balance_train_Cutoff,0.5996
balance_train_Acc,0.8631
balance_train_MCC,0.7287
balance_train_Sen,0.9048
balance_train_Spe,0.8214
balance_train_PPV,0.8352
balance_train_NPV,0.8961
balance_train_Youden Index,0.7262
balance_train_AUC,0.8607
balance_train_95% CIs,[0.7990-0.9224]
balance_train_Std,0.0315
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.6657
train_Cutoff,0.5996
train_Acc,0.8425
train_MCC,0.6767
train_Sen,0.8837
train_Spe,0.8214
train_PPV,0.7170
train_NPV,0.9324
train_Youden Index,0.7051
train_AUC,0.8574
train_95% CIs,[0.7873-0.9276]
train_Std,0.0358
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.8004
test_Cutoff,0.4334
test_Acc,0.8182
test_MCC,0.6633
test_Sen,0.9474
test_Spe,0.7500
test_PPV,0.6667
test_NPV,0.9643
test_Youden Index,0.6974
test_AUC,0.8918
test_95% CIs,[0.8101-0.9735]
test_Std,0.0417
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9062
cv_train_Cutoff,0.6374
cv_train_Acc,0.8586
cv_train_MCC,0.7182
cv_train_Sen,0.8333
cv_train_Spe,0.8839
cv_train_PPV,0.8777
cv_train_NPV,0.8414
cv_train_Youden Index,0.7173
cv_train_AUC,0.9096
cv_train_95% CIs,[0.8871-0.9320]
cv_train_Std,0.0114
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.7447
cv_val_Cutoff,0.5576
cv_val_Acc,0.8583
cv_val_MCC,0.6875
cv_val_Sen,0.8140
cv_val_Spe,0.8810
cv_val_PPV,0.7778
cv_val_NPV,0.9024
cv_val_Youden Index,0.6949
cv_val_AUC,0.8328
cv_val_95% CIs,[0.7456-0.9199]
cv_val_Std,0.0445
