,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.7895
balance_train_Cutoff,0.4651
balance_train_Acc,0.8095
balance_train_MCC,0.6206
balance_train_Sen,0.8452
balance_train_Spe,0.7738
balance_train_PPV,0.7889
balance_train_NPV,0.8333
balance_train_Youden Index,0.6190
balance_train_AUC,0.8639
balance_train_95% CIs,[0.8071-0.9208]
balance_train_Std,0.0290
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.6450
train_Cutoff,0.3500
train_Acc,0.7559
train_MCC,0.5918
train_Sen,0.9767
train_Spe,0.6429
train_PPV,0.5833
train_NPV,0.9818
train_Youden Index,0.6196
train_AUC,0.8527
train_95% CIs,[0.7886-0.9168]
train_Std,0.0327
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.5782
test_Cutoff,0.4475
test_Acc,0.7273
test_MCC,0.5096
test_Sen,0.8947
test_Spe,0.6389
test_PPV,0.5667
test_NPV,0.9200
test_Youden Index,0.5336
test_AUC,0.7778
test_95% CIs,[0.6433-0.9122]
test_Std,0.0686
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.7799
cv_train_Cutoff,0.3738
cv_train_Acc,0.7798
cv_train_MCC,0.5948
cv_train_Sen,0.9494
cv_train_Spe,0.6101
cv_train_PPV,0.7089
cv_train_NPV,0.9234
cv_train_Youden Index,0.5595
cv_train_AUC,0.8418
cv_train_95% CIs,[0.8118-0.8719]
cv_train_Std,0.0153
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.7501
cv_val_Cutoff,0.4252
cv_val_Acc,0.7953
cv_val_MCC,0.6322
cv_val_Sen,0.9535
cv_val_Spe,0.7143
cv_val_PPV,0.6308
cv_val_NPV,0.9677
cv_val_Youden Index,0.6678
cv_val_AUC,0.8848
cv_val_95% CIs,[0.8289-0.9408]
cv_val_Std,0.0286
