,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.9038
balance_train_Cutoff,0.5536
balance_train_Acc,0.8988
balance_train_MCC,0.7981
balance_train_Sen,0.9167
balance_train_Spe,0.8810
balance_train_PPV,0.8851
balance_train_NPV,0.9136
balance_train_Youden Index,0.7976
balance_train_AUC,0.9202
balance_train_95% CIs,[0.8734-0.9670]
balance_train_Std,0.0239
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.8465
train_Cutoff,0.5536
train_Acc,0.8898
train_MCC,0.7660
train_Sen,0.9070
train_Spe,0.8810
train_PPV,0.7959
train_NPV,0.9487
train_Youden Index,0.7879
train_AUC,0.9244
train_95% CIs,[0.8702-0.9787]
train_Std,0.0277
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.7896
test_Cutoff,0.4353
test_Acc,0.8545
test_MCC,0.7398
test_Sen,1.0000
test_Spe,0.7778
test_PPV,0.7037
test_NPV,1.0000
test_Youden Index,0.7778
test_AUC,0.9386
test_95% CIs,[0.8734-1.0000]
test_Std,0.0332
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9339
cv_train_Cutoff,0.6424
cv_train_Acc,0.8988
cv_train_MCC,0.7983
cv_train_Sen,0.8780
cv_train_Spe,0.9196
cv_train_PPV,0.9161
cv_train_NPV,0.8829
cv_train_Youden Index,0.7976
cv_train_AUC,0.9479
cv_train_95% CIs,[0.9302-0.9655]
cv_train_Std,0.0090
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.7674
cv_val_Cutoff,0.2905
cv_val_Acc,0.8189
cv_val_MCC,0.6381
cv_val_Sen,0.8837
cv_val_Spe,0.7857
cv_val_PPV,0.6786
cv_val_NPV,0.9296
cv_val_Youden Index,0.6694
cv_val_AUC,0.8654
cv_val_95% CIs,[0.7922-0.9387]
cv_val_Std,0.0374
