,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,1.0000
balance_train_Cutoff,0.7650
balance_train_Acc,1.0000
balance_train_MCC,1.0000
balance_train_Sen,1.0000
balance_train_Spe,1.0000
balance_train_PPV,1.0000
balance_train_NPV,1.0000
balance_train_Youden Index,1.0000
balance_train_AUC,1.0000
balance_train_95% CIs,[1.0000-1.0000]
balance_train_Std,0.0000
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,1.0000
train_Cutoff,0.7650
train_Acc,1.0000
train_MCC,1.0000
train_Sen,1.0000
train_Spe,1.0000
train_PPV,1.0000
train_NPV,1.0000
train_Youden Index,1.0000
train_AUC,1.0000
train_95% CIs,[1.0000-1.0000]
train_Std,0.0000
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.9708
test_Cutoff,0.3150
test_Acc,0.9273
test_MCC,0.8569
test_Sen,1.0000
test_Spe,0.8889
test_PPV,0.8261
test_NPV,1.0000
test_Youden Index,0.8889
test_AUC,0.9839
test_95% CIs,[0.9613-1.0000]
test_Std,0.0115
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,1.0000
cv_train_Cutoff,0.7150
cv_train_Acc,1.0000
cv_train_MCC,1.0000
cv_train_Sen,1.0000
cv_train_Spe,1.0000
cv_train_PPV,1.0000
cv_train_NPV,1.0000
cv_train_Youden Index,1.0000
cv_train_AUC,1.0000
cv_train_95% CIs,[1.0000-1.0000]
cv_train_Std,0.0000
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.8551
cv_val_Cutoff,0.4450
cv_val_Acc,0.8819
cv_val_MCC,0.7316
cv_val_Sen,0.7674
cv_val_Spe,0.9405
cv_val_PPV,0.8684
cv_val_NPV,0.8876
cv_val_Youden Index,0.7079
cv_val_AUC,0.9025
cv_val_95% CIs,[0.8397-0.9654]
cv_val_Std,0.0321
