,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.7899
balance_train_Cutoff,0.5996
balance_train_Acc,0.8631
balance_train_MCC,0.7287
balance_train_Sen,0.9048
balance_train_Spe,0.8214
balance_train_PPV,0.8352
balance_train_NPV,0.8961
balance_train_Youden Index,0.7262
balance_train_AUC,0.8607
balance_train_95% CIs,[0.7990-0.9224]
balance_train_Std,0.0315
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.6657
train_Cutoff,0.5996
train_Acc,0.8425
train_MCC,0.6767
train_Sen,0.8837
train_Spe,0.8214
train_PPV,0.7170
train_NPV,0.9324
train_Youden Index,0.7051
train_AUC,0.8574
train_95% CIs,[0.7873-0.9276]
train_Std,0.0358
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.8004
test_Cutoff,0.4334
test_Acc,0.8182
test_MCC,0.6633
test_Sen,0.9474
test_Spe,0.7500
test_PPV,0.6667
test_NPV,0.9643
test_Youden Index,0.6974
test_AUC,0.8918
test_95% CIs,[0.8101-0.9735]
test_Std,0.0417
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.8943
cv_train_Cutoff,0.6450
cv_train_Acc,0.8244
cv_train_MCC,0.6505
cv_train_Sen,0.7887
cv_train_Spe,0.8601
cv_train_PPV,0.8494
cv_train_NPV,0.8028
cv_train_Youden Index,0.6488
cv_train_AUC,0.8973
cv_train_95% CIs,[0.8733-0.9212]
cv_train_Std,0.0122
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.8119
cv_val_Cutoff,0.5515
cv_val_Acc,0.8504
cv_val_MCC,0.6680
cv_val_Sen,0.7907
cv_val_Spe,0.8810
cv_val_PPV,0.7727
cv_val_NPV,0.8916
cv_val_Youden Index,0.6717
cv_val_AUC,0.8754
cv_val_95% CIs,[0.8082-0.9426]
cv_val_Std,0.0343
