,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.9834
balance_train_Cutoff,0.4262
balance_train_Acc,0.9643
balance_train_MCC,0.9286
balance_train_Sen,0.9643
balance_train_Spe,0.9643
balance_train_PPV,0.9643
balance_train_NPV,0.9643
balance_train_Youden Index,0.9286
balance_train_AUC,0.9855
balance_train_95% CIs,[0.9707-1.0000]
balance_train_Std,0.0076
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.9656
train_Cutoff,0.4262
train_Acc,0.9606
train_MCC,0.9127
train_Sen,0.9535
train_Spe,0.9643
train_PPV,0.9318
train_NPV,0.9759
train_Youden Index,0.9178
train_AUC,0.9839
train_95% CIs,[0.9671-1.0000]
train_Std,0.0086
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.5116
test_Cutoff,2.0000
test_Acc,0.6545
test_MCC,0.0000
test_Sen,0.0000
test_Spe,1.0000
test_PPV,0.0000
test_NPV,0.6545
test_Youden Index,0.0000
test_AUC,0.4854
test_95% CIs,[0.3437-0.6271]
test_Std,0.0723
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9903
cv_train_Cutoff,0.5195
cv_train_Acc,0.9598
cv_train_MCC,0.9198
cv_train_Sen,0.9702
cv_train_Spe,0.9494
cv_train_PPV,0.9504
cv_train_NPV,0.9696
cv_train_Youden Index,0.9196
cv_train_AUC,0.9913
cv_train_95% CIs,[0.9861-0.9966]
cv_train_Std,0.0027
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.4738
cv_val_Cutoff,2.0000
cv_val_Acc,0.6614
cv_val_MCC,0.0000
cv_val_Sen,0.0000
cv_val_Spe,1.0000
cv_val_PPV,0.0000
cv_val_NPV,0.6614
cv_val_Youden Index,0.0000
cv_val_AUC,0.4769
cv_val_95% CIs,[0.3845-0.5692]
cv_val_Std,0.0471
