,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.7982
balance_train_Cutoff,0.5444
balance_train_Acc,0.7917
balance_train_MCC,0.6025
balance_train_Sen,0.9167
balance_train_Spe,0.6667
balance_train_PPV,0.7333
balance_train_NPV,0.8889
balance_train_Youden Index,0.5833
balance_train_AUC,0.8278
balance_train_95% CIs,[0.7634-0.8922]
balance_train_Std,0.0329
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.6766
train_Cutoff,0.5795
train_Acc,0.7795
train_MCC,0.5500
train_Sen,0.8140
train_Spe,0.7619
train_PPV,0.6364
train_NPV,0.8889
train_Youden Index,0.5759
train_AUC,0.8278
train_95% CIs,[0.7522-0.9034]
train_Std,0.0386
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.6792
test_Cutoff,0.5972
test_Acc,0.8364
test_MCC,0.6431
test_Sen,0.7895
test_Spe,0.8611
test_PPV,0.7500
test_NPV,0.8857
test_Youden Index,0.6506
test_AUC,0.8670
test_95% CIs,[0.7701-0.9638]
test_Std,0.0494
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.7956
cv_train_Cutoff,0.5145
cv_train_Acc,0.7649
cv_train_MCC,0.5828
cv_train_Sen,0.9732
cv_train_Spe,0.5565
cv_train_PPV,0.6870
cv_train_NPV,0.9541
cv_train_Youden Index,0.5298
cv_train_AUC,0.8084
cv_train_95% CIs,[0.7761-0.8407]
cv_train_Std,0.0165
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.5868
cv_val_Cutoff,0.5414
cv_val_Acc,0.7323
cv_val_MCC,0.4492
cv_val_Sen,0.7442
cv_val_Spe,0.7262
cv_val_PPV,0.5818
cv_val_NPV,0.8472
cv_val_Youden Index,0.4704
cv_val_AUC,0.7514
cv_val_95% CIs,[0.6626-0.8401]
cv_val_Std,0.0453
