,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.9656
balance_train_Cutoff,0.8079
balance_train_Acc,0.9405
balance_train_MCC,0.8832
balance_train_Sen,0.9048
balance_train_Spe,0.9762
balance_train_PPV,0.9744
balance_train_NPV,0.9111
balance_train_Youden Index,0.8810
balance_train_AUC,0.9746
balance_train_95% CIs,[0.9508-0.9985]
balance_train_Std,0.0122
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.9346
train_Cutoff,0.5599
train_Acc,0.9291
train_MCC,0.8493
train_Sen,0.9535
train_Spe,0.9167
train_PPV,0.8542
train_NPV,0.9747
train_Youden Index,0.8702
train_AUC,0.9734
train_95% CIs,[0.9480-0.9989]
train_Std,0.0130
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.4920
test_Cutoff,2.0000
test_Acc,0.6545
test_MCC,0.0000
test_Sen,0.0000
test_Spe,1.0000
test_PPV,0.0000
test_NPV,0.6545
test_Youden Index,0.0000
test_AUC,0.4298
test_95% CIs,[0.2905-0.5691]
test_Std,0.0711
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9729
cv_train_Cutoff,0.7996
cv_train_Acc,0.9315
cv_train_MCC,0.8635
cv_train_Sen,0.9167
cv_train_Spe,0.9464
cv_train_PPV,0.9448
cv_train_NPV,0.9191
cv_train_Youden Index,0.8631
cv_train_AUC,0.9780
cv_train_95% CIs,[0.9680-0.9879]
cv_train_Std,0.0051
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.4466
cv_val_Cutoff,2.0000
cv_val_Acc,0.6614
cv_val_MCC,0.0000
cv_val_Sen,0.0000
cv_val_Spe,1.0000
cv_val_PPV,0.0000
cv_val_NPV,0.6614
cv_val_Youden Index,0.0000
cv_val_AUC,0.4536
cv_val_95% CIs,[0.3622-0.5450]
cv_val_Std,0.0466
