,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,1.0000
balance_train_Cutoff,1.0000
balance_train_Acc,1.0000
balance_train_MCC,1.0000
balance_train_Sen,1.0000
balance_train_Spe,1.0000
balance_train_PPV,1.0000
balance_train_NPV,1.0000
balance_train_Youden Index,1.0000
balance_train_AUC,1.0000
balance_train_95% CIs,[1.0000-1.0000]
balance_train_Std,0.0000
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,1.0000
train_Cutoff,1.0000
train_Acc,1.0000
train_MCC,1.0000
train_Sen,1.0000
train_Spe,1.0000
train_PPV,1.0000
train_NPV,1.0000
train_Youden Index,1.0000
train_AUC,1.0000
train_95% CIs,[1.0000-1.0000]
train_Std,0.0000
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.5831
test_Cutoff,1.0000
test_Acc,0.6364
test_MCC,0.2161
test_Sen,0.5263
test_Spe,0.6944
test_PPV,0.4762
test_NPV,0.7353
test_Youden Index,0.2208
test_AUC,0.6104
test_95% CIs,[0.4721-0.7487]
test_Std,0.0706
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,1.0000
cv_train_Cutoff,1.0000
cv_train_Acc,1.0000
cv_train_MCC,1.0000
cv_train_Sen,1.0000
cv_train_Spe,1.0000
cv_train_PPV,1.0000
cv_train_NPV,1.0000
cv_train_Youden Index,1.0000
cv_train_AUC,1.0000
cv_train_95% CIs,[1.0000-1.0000]
cv_train_Std,0.0000
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.5133
cv_val_Cutoff,1.0000
cv_val_Acc,0.5827
cv_val_MCC,0.0943
cv_val_Sen,0.4419
cv_val_Spe,0.6548
cv_val_PPV,0.3958
cv_val_NPV,0.6962
cv_val_Youden Index,0.0966
cv_val_AUC,0.5483
cv_val_95% CIs,[0.4575-0.6392]
cv_val_Std,0.0464
