,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.9007
balance_train_Cutoff,0.5551
balance_train_Acc,0.9048
balance_train_MCC,0.8104
balance_train_Sen,0.9286
balance_train_Spe,0.8810
balance_train_PPV,0.8864
balance_train_NPV,0.9250
balance_train_Youden Index,0.8095
balance_train_AUC,0.9213
balance_train_95% CIs,[0.8736-0.9691]
balance_train_Std,0.0244
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.8361
train_Cutoff,0.5551
train_Acc,0.8898
train_MCC,0.7660
train_Sen,0.9070
train_Spe,0.8810
train_PPV,0.7959
train_NPV,0.9487
train_Youden Index,0.7879
train_AUC,0.9228
train_95% CIs,[0.8671-0.9784]
train_Std,0.0284
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.7301
test_Cutoff,0.3727
test_Acc,0.8364
test_MCC,0.7134
test_Sen,1.0000
test_Spe,0.7500
test_PPV,0.6786
test_NPV,1.0000
test_Youden Index,0.7500
test_AUC,0.9094
test_95% CIs,[0.8311-0.9877]
test_Std,0.0399
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9061
cv_train_Cutoff,0.5252
cv_train_Acc,0.8765
cv_train_MCC,0.7537
cv_train_Sen,0.8988
cv_train_Spe,0.8542
cv_train_PPV,0.8604
cv_train_NPV,0.8941
cv_train_Youden Index,0.7530
cv_train_AUC,0.9279
cv_train_95% CIs,[0.9081-0.9478]
cv_train_Std,0.0101
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.7289
cv_val_Cutoff,0.3715
cv_val_Acc,0.8189
cv_val_MCC,0.6154
cv_val_Sen,0.8140
cv_val_Spe,0.8214
cv_val_PPV,0.7000
cv_val_NPV,0.8961
cv_val_Youden Index,0.6354
cv_val_AUC,0.8239
cv_val_95% CIs,[0.7377-0.9101]
cv_val_Std,0.0440
