,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,1.0000
balance_train_Cutoff,0.7550
balance_train_Acc,1.0000
balance_train_MCC,1.0000
balance_train_Sen,1.0000
balance_train_Spe,1.0000
balance_train_PPV,1.0000
balance_train_NPV,1.0000
balance_train_Youden Index,1.0000
balance_train_AUC,1.0000
balance_train_95% CIs,[1.0000-1.0000]
balance_train_Std,0.0000
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,1.0000
train_Cutoff,0.7550
train_Acc,1.0000
train_MCC,1.0000
train_Sen,1.0000
train_Spe,1.0000
train_PPV,1.0000
train_NPV,1.0000
train_Youden Index,1.0000
train_AUC,1.0000
train_95% CIs,[1.0000-1.0000]
train_Std,0.0000
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.8999
test_Cutoff,0.4600
test_Acc,0.8727
test_MCC,0.7226
test_Sen,0.8421
test_Spe,0.8889
test_PPV,0.8000
test_NPV,0.9143
test_Youden Index,0.7310
test_AUC,0.9327
test_95% CIs,[0.8695-0.9960]
test_Std,0.0323
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,1.0000
cv_train_Cutoff,0.7100
cv_train_Acc,1.0000
cv_train_MCC,1.0000
cv_train_Sen,1.0000
cv_train_Spe,1.0000
cv_train_PPV,1.0000
cv_train_NPV,1.0000
cv_train_Youden Index,1.0000
cv_train_AUC,1.0000
cv_train_95% CIs,[1.0000-1.0000]
cv_train_Std,0.0000
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.8294
cv_val_Cutoff,0.3350
cv_val_Acc,0.8740
cv_val_MCC,0.7267
cv_val_Sen,0.8605
cv_val_Spe,0.8810
cv_val_PPV,0.7872
cv_val_NPV,0.9250
cv_val_Youden Index,0.7414
cv_val_AUC,0.9038
cv_val_95% CIs,[0.8462-0.9614]
cv_val_Std,0.0294
